"domain","concept_id","concept_name","cond","drug_comb","cov_cond","cov_drug","exclude","meas","factor_con","factor_drug"
drug,2064463,amlodipine 10 MG / rosuvastatin 20 MG / telmisartan 80 MG Oral Tablet,NULL,arb_ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,2063242,amlodipine 5 MG / olmesartan 20 MG / rosuvastatin 10 MG Oral Tablet,NULL,arb_ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,2064463,amlodipine 10 MG / rosuvastatin 20 MG / telmisartan 80 MG Oral Tablet,NULL,arb_ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,42969106,Amlodipine 5 MG / Losartan 100 MG / rosuvastatin 20 MG Oral Tablet,NULL,arb_ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,42969115,Amlodipine 5 MG / Losartan 50 MG / rosuvastatin 20 MG Oral Tablet,NULL,arb_ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,40184187,Hydrochlorothiazide 12.5 MG / Losartan Potassium 50 MG Oral Tablet,NULL,arb_du,NULL,NULL,NULL,NULL,NULL,NULL
drug,40184184,Hydrochlorothiazide 12.5 MG / Losartan Potassium 100 MG Oral Tablet,NULL,arb_du,NULL,NULL,NULL,NULL,NULL,NULL
drug,40184217,Hydrochlorothiazide 25 MG / Losartan Potassium 100 MG Oral Tablet,NULL,arb_du,NULL,NULL,NULL,NULL,NULL,NULL
drug,19078080,Hydrochlorothiazide 12.5 MG / Irbesartan 150 MG Oral Tablet,NULL,arb_du,NULL,NULL,NULL,NULL,NULL,NULL
drug,19078101,Hydrochlorothiazide 12.5 MG / Irbesartan 300 MG Oral Tablet,NULL,arb_du,NULL,NULL,NULL,NULL,NULL,NULL
drug,974702,Candesartan cilexetil 16 MG / Hydrochlorothiazide 12.5 MG Oral Tablet,NULL,arb_du,NULL,NULL,NULL,NULL,NULL,NULL
drug,19023453,Hydrochlorothiazide 12.5 MG / Valsartan 80 MG Oral Tablet,NULL,arb_du,NULL,NULL,NULL,NULL,NULL,NULL
drug,19023454,Hydrochlorothiazide 12.5 MG / Valsartan 160 MG Oral Tablet,NULL,arb_du,NULL,NULL,NULL,NULL,NULL,NULL
drug,974473,Hydrochlorothiazide 12.5 MG / Telmisartan 40 MG Oral Tablet,NULL,arb_du,NULL,NULL,NULL,NULL,NULL,NULL
drug,974474,Hydrochlorothiazide 12.5 MG / Telmisartan 80 MG Oral Tablet,NULL,arb_du,NULL,NULL,NULL,NULL,NULL,NULL
drug,19102491,Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 20 MG Oral Tablet,NULL,arb_du,NULL,NULL,NULL,NULL,NULL,NULL
drug,974642,Eprosartan 600 MG / Hydrochlorothiazide 12.5 MG Oral Tablet,NULL,arb_du,NULL,NULL,NULL,NULL,NULL,NULL
drug,42969008,candesartan 8 MG / rosuvastatin 5 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,42968981,candesartan 8 MG / rosuvastatin 10 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,42968999,candesartan 16 MG / rosuvastatin 10 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,42968990,candesartan 32 MG / rosuvastatin 20 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,42969040,rosuvastatin 10 MG / telmisartan 40 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,42969022,rosuvastatin 10 MG / telmisartan 80 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,42969067,rosuvastatin 5 MG / telmisartan 40 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,42969058,rosuvastatin 5 MG / telmisartan 80 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,42969049,rosuvastatin 20 MG / telmisartan 40 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,42969031,rosuvastatin 20 MG / telmisartan 80 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,42932541,pitavastatin 2 MG / valsartan 80 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,46275725,sacubitril 24 MG / valsartan 26 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,42932547,pitavastatin 2 MG / valsartan 160 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,46275732,sacubitril 49 MG / valsartan 51 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,42932538,pitavastatin 4 MG / valsartan 80 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,42932544,pitavastatin 4 MG / valsartan 160 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,46275809,sacubitril 97 MG / valsartan 103 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,42969082,rosuvastatin 10 MG / valsartan 80 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,42969085,rosuvastatin 10 MG / valsartan 160 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,2063264,amlodipine 5 MG / rosuvastatin 5 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,2063256,amlodipine 5 MG / rosuvastatin 20 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,19018811,Atenolol 25 MG Oral Tablet,NULL,bb,NULL,NULL,NULL,NULL,NULL,NULL
drug,1314008,Atenolol 50 MG Oral Tablet,NULL,bb,NULL,NULL,NULL,NULL,NULL,NULL
drug,40166187,Bisoprolol Fumarate 1.25 MG Oral Tablet,NULL,bb,NULL,NULL,NULL,NULL,NULL,NULL
drug,40166188,Bisoprolol Fumarate 2.5 MG Oral Tablet,NULL,bb,NULL,NULL,NULL,NULL,NULL,NULL
drug,40162878,Bisoprolol Fumarate 5 MG Oral Tablet,NULL,bb,NULL,NULL,NULL,NULL,NULL,NULL
drug,40162867,Bisoprolol Fumarate 10 MG Oral Tablet,NULL,bb,NULL,NULL,NULL,NULL,NULL,NULL
drug,42800549,Betaxolol Hydrochloride 20 MG Oral Tablet,NULL,bb,NULL,NULL,NULL,NULL,NULL,NULL
drug,19011443,Metoprolol 95 MG Oral Tablet,NULL,bb,NULL,NULL,NULL,NULL,NULL,NULL
drug,40167202,Metoprolol Tartrate 100 MG Oral Tablet,NULL,bb,NULL,NULL,NULL,NULL,NULL,NULL
drug,19019238,Nadolol 40 MG Oral Tablet,NULL,bb,NULL,NULL,NULL,NULL,NULL,NULL
drug,40163312,Propranolol Hydrochloride 10 MG Oral Tablet,NULL,bb,NULL,NULL,NULL,NULL,NULL,NULL
drug,40163342,Propranolol Hydrochloride 40 MG Oral Tablet,NULL,bb,NULL,NULL,NULL,NULL,NULL,NULL
drug,1346823,carvedilol,NULL,bb,NULL,NULL,NULL,NULL,NULL,NULL
drug,1346990,Carvedilol 3.125 MG Oral Tablet,NULL,bb,NULL,NULL,NULL,NULL,NULL,NULL
drug,19022749,Carvedilol 6.25 MG Oral Tablet,NULL,bb,NULL,NULL,NULL,NULL,NULL,NULL
drug,19022750,Carvedilol 12.5 MG Oral Tablet,NULL,bb,NULL,NULL,NULL,NULL,NULL,NULL
drug,19022781,Carvedilol 25 MG Oral Tablet,NULL,bb,NULL,NULL,NULL,NULL,NULL,NULL
drug,40022801,Carteolol Oral Tablet,NULL,bb,NULL,NULL,NULL,NULL,NULL,NULL
drug,19101573,nebivolol 5 MG Oral Tablet,NULL,bb,NULL,NULL,NULL,NULL,NULL,NULL
drug,2065490,nebivolol 2.5 MG / rosuvastatin 10 MG Oral Tablet,NULL,bb,NULL,NULL,NULL,NULL,NULL,NULL
drug,2065486,nebivolol 5 MG / rosuvastatin 10 MG Oral Tablet,NULL,bb,NULL,NULL,NULL,NULL,NULL,NULL
drug,19073094,Amlodipine 2.5 MG Oral Tablet,NULL,ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,1332419,Amlodipine 5 MG Oral Tablet,NULL,ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,19073093,Amlodipine 10 MG Oral Tablet,NULL,ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,42950300,Diltiazem 50 MG Injection,NULL,ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,1328689,Diltiazem Hydrochloride 30 MG Oral Tablet,NULL,ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,19133621,Diltiazem Hydrochloride 90 MG Oral Tablet,NULL,ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,19133570,"24 HR Diltiazem Hydrochloride 180 MG Extended Release Oral Capsule",NULL,ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,1326014,Isradipine 5 MG Oral Capsule,NULL,ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,1353816,Felodipine 2.5 MG,NULL,ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,1353817,Felodipine 5 MG,NULL,ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,21030573,Nicardipine 1 MG/ML Injection,NULL,ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,40165082,Nicardipine hydrochloride 20 MG Oral Tablet,NULL,ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,1318859,Nifedipine 5 MG Oral Capsule,NULL,ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,19101807,Nifedipine 30 MG Oral Tablet,NULL,ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,40990862,Nifedipine 40 MG Oral Tablet,NULL,ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,19101798,Nifedipine 60 MG Oral Tablet,NULL,ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,19107812,Nisoldipine 10 MG Oral Tablet,NULL,ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,41178428,Nisoldipine 20 MG Oral Tablet,NULL,ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,19101835,Verapamil 180 MG Oral Tablet,NULL,ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,40171905,Verapamil hydrochloride 40 MG Oral Tablet,NULL,ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,40171917,Verapamil hydrochloride 80 MG Oral Tablet,NULL,ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,2063260,amlodipine 5 MG / rosuvastatin 10 MG Oral Tablet,NULL,ccb,NULL,hmg,NULL,NULL,NULL,hmg
drug,1332497,Amlodipine 5 MG / Atorvastatin 10 MG Oral Tablet,NULL,ccb,NULL,hmg,NULL,NULL,NULL,hmg
drug,19122209,Amlodipine 5 MG / Atorvastatin 20 MG Oral Tablet,NULL,ccb,NULL,hmg,NULL,NULL,NULL,hmg
drug,1332499,Amlodipine 5 MG / Atorvastatin 40 MG Oral Tablet,NULL,ccb,NULL,hmg,NULL,NULL,NULL,hmg
drug,1332494,Amlodipine 10 MG / Atorvastatin 20 MG Oral Tablet,NULL,ccb,NULL,hmg,NULL,NULL,NULL,hmg
drug,19078106,Hydrochlorothiazide 25 MG Oral Tablet,NULL,du,NULL,NULL,NULL,NULL,NULL,NULL
drug,19091217,Indapamide 1.5 MG,NULL,du,NULL,NULL,NULL,NULL,NULL,NULL
drug,978557,Indapamide 2.5 MG Oral Tablet,NULL,du,NULL,NULL,NULL,NULL,NULL,NULL
drug,907020,Metolazone 5 MG Oral Tablet,NULL,du,NULL,NULL,NULL,NULL,NULL,NULL
drug,907015,Metolazone 10 MG Oral Tablet,NULL,du,NULL,NULL,NULL,NULL,NULL,NULL
drug,40177829,Amiloride Hydrochloride 5 MG Oral Tablet,NULL,du,NULL,NULL,NULL,NULL,NULL,NULL
drug,957136,Furosemide 40 MG Oral Tablet,NULL,du,NULL,NULL,NULL,NULL,NULL,NULL
drug,35603226,"2 ML Furosemide 10 MG/ML Injection",NULL,du,NULL,NULL,NULL,NULL,NULL,NULL
drug,19079658,Spironolactone 25 MG Oral Tablet,NULL,du,NULL,NULL,NULL,NULL,NULL,NULL
drug,974226,Hydrochlorothiazide 25 MG / Spironolactone 25 MG Oral Tablet,NULL,du,NULL,NULL,NULL,NULL,NULL,NULL
drug,2063246,amlodipine 5 MG / olmesartan 20 MG / rosuvastatin 5 MG Oral Tablet,NULL,arb_ccb,NULL,hmg,NULL,NULL,NULL,hmg
drug,2064553,amlodipine 5 MG / rosuvastatin 10 MG / telmisartan 40 MG Oral Tablet,NULL,arb_ccb,NULL,hmg,NULL,NULL,NULL,hmg
drug,42969058,rosuvastatin 5 MG / telmisartan 80 MG Oral Tablet,NULL,arb,NULL,hmg,NULL,NULL,NULL,hmg
drug,42969067,rosuvastatin 5 MG / telmisartan 40 MG Oral Tablet,NULL,arb,NULL,hmg,NULL,NULL,NULL,hmg
drug,1332494,Amlodipine 10 MG / atorvastatin 20 MG Oral Tablet,NULL,ccb,NULL,hmg,NULL,NULL,NULL,hmg
drug,2064498,amlodipine 5 MG / rosuvastatin 10 MG / telmisartan 80 MG Oral Tablet,NULL,arb_ccb,NULL,hmg,NULL,NULL,NULL,hmg
drug,42972640,atorvastatin 20 MG / irbesartan 150 MG Oral Tablet,NULL,arb,NULL,hmg,NULL,NULL,NULL,hmg
drug,42969126,olmesartan 10 MG / rosuvastatin 10 MG Oral Tablet,NULL,arb,NULL,hmg,NULL,NULL,NULL,hmg
drug,42932538,pitavastatin 4 MG / valsartan 80 MG Oral Tablet,NULL,arb,NULL,hmg,NULL,NULL,NULL,hmg
drug,42969031,rosuvastatin 20 MG / telmisartan 80 MG Oral Tablet,NULL,arb,NULL,hmg,NULL,NULL,NULL,hmg
drug,42969049,rosuvastatin 20 MG / telmisartan 40 MG Oral Tablet,NULL,arb,NULL,hmg,NULL,NULL,NULL,hmg
drug,42969082,rosuvastatin 10 MG / valsartan 80 MG Oral Tablet,NULL,arb,NULL,hmg,NULL,NULL,NULL,hmg
drug,42969085,rosuvastatin 10 MG / valsartan 160 MG Oral Tablet,NULL,arb,NULL,hmg,NULL,NULL,NULL,hmg
drug,42972631,atorvastatin 10 MG / irbesartan 300 MG Oral Tablet,NULL,arb,NULL,hmg,NULL,NULL,NULL,hmg
drug,42972637,atorvastatin 10 MG / irbesartan 150 MG Oral Tablet,NULL,arb,NULL,hmg,NULL,NULL,NULL,hmg
drug,2065490,nebivolol 2.5 MG / rosuvastatin 10 MG Oral Tablet,NULL,bb,NULL,hmg,NULL,NULL,NULL,hmg
drug,2063242,amlodipine 5 MG / olmesartan 20 MG / rosuvastatin 10 MG Oral Tablet,NULL,arb_ccb,NULL,hmg,NULL,NULL,NULL,hmg
drug,2063264,amlodipine 5 MG / rosuvastatin 5 MG Oral Tablet,NULL,ccb,NULL,hmg,NULL,NULL,NULL,hmg
drug,42969118,Amlodipine 5 MG / Losartan 50 MG / rosuvastatin 5 MG Oral Tablet,NULL,arb_ccb,NULL,hmg,NULL,NULL,NULL,hmg
drug,2064532,amlodipine 5 MG / rosuvastatin 5 MG / telmisartan 80 MG Oral Tablet,NULL,arb_ccb,NULL,hmg,NULL,NULL,NULL,hmg
drug,42969115,Amlodipine 5 MG / Losartan 50 MG / rosuvastatin 20 MG Oral Tablet,NULL,arb_ccb,NULL,hmg,NULL,NULL,NULL,hmg
drug,2064586,amlodipine 5 MG / rosuvastatin 5 MG / telmisartan 40 MG Oral Tablet,NULL,arb_ccb,NULL,hmg,NULL,NULL,NULL,hmg
drug,42969008,candesartan 8 MG / rosuvastatin 5 MG Oral Tablet,NULL,arb,NULL,hmg,NULL,NULL,NULL,hmg
drug,42969112,Amlodipine 5 MG / Losartan 50 MG / rosuvastatin 10 MG Oral Tablet,NULL,arb_ccb,NULL,hmg,NULL,NULL,NULL,hmg
drug,2063256,amlodipine 5 MG / rosuvastatin 20 MG Oral Tablet,NULL,ccb,NULL,hmg,NULL,NULL,NULL,hmg
drug,42968981,candesartan 8 MG / rosuvastatin 10 MG Oral Tablet,NULL,arb,NULL,hmg,NULL,NULL,NULL,hmg
drug,42969109,Amlodipine 5 MG / Losartan 100 MG / rosuvastatin 5 MG Oral Tablet,NULL,arb_ccb,NULL,hmg,NULL,NULL,NULL,hmg
drug,2063260,amlodipine 5 MG / rosuvastatin 10 MG Oral Tablet,NULL,ccb,NULL,hmg,NULL,NULL,NULL,hmg
drug,42968990,candesartan 32 MG / rosuvastatin 20 MG Oral Tablet,NULL,arb,NULL,hmg,NULL,NULL,NULL,hmg
drug,42969157,fimasartan potassium 60 MG / rosuvastatin 5 MG Oral Tablet,NULL,arb,NULL,hmg,NULL,NULL,NULL,hmg
drug,42932547,pitavastatin 2 MG / valsartan 160 MG Oral Tablet,NULL,arb,NULL,hmg,NULL,NULL,NULL,hmg
drug,42969106,Amlodipine 5 MG / Losartan 100 MG / rosuvastatin 20 MG Oral Tablet,NULL,arb_ccb,NULL,hmg,NULL,NULL,NULL,hmg
drug,2064498,amlodipine 5 MG / rosuvastatin 10 MG / telmisartan 80 MG Oral Tablet,NULL,arb_ccb,NULL,hmg,NULL,NULL,NULL,hmg
drug,42968999,candesartan 16 MG / rosuvastatin 10 MG Oral Tablet,NULL,arb,NULL,hmg,NULL,NULL,NULL,hmg
drug,42969154,fimasartan potassium 60 MG / rosuvastatin 10 MG Oral Tablet,NULL,arb,NULL,hmg,NULL,NULL,NULL,hmg
drug,42969129,olmesartan 40 MG / rosuvastatin 20 MG Oral Tablet,NULL,arb,NULL,hmg,NULL,NULL,NULL,hmg
drug,42969102,Amlodipine 5 MG / Losartan 100 MG / rosuvastatin 10 MG Oral Tablet,NULL,arb_ccb,NULL,hmg,NULL,NULL,NULL,hmg
drug,2064553,amlodipine 5 MG / rosuvastatin 10 MG / telmisartan 40 MG Oral Tablet,NULL,arb_ccb,NULL,hmg,NULL,NULL,NULL,hmg
drug,42969152,fimasartan potassium 30 MG / rosuvastatin 5 MG Oral Tablet,NULL,arb,NULL,hmg,NULL,NULL,NULL,hmg
drug,42969123,olmesartan 40 MG / rosuvastatin 10 MG Oral Tablet,NULL,arb,NULL,hmg,NULL,NULL,NULL,hmg
drug,1332499,Amlodipine 5 MG / atorvastatin 40 MG Oral Tablet,NULL,arb,NULL,hmg,NULL,NULL,NULL,hmg
drug,42969149,fimasartan potassium 30 MG / rosuvastatin 10 MG Oral Tablet,NULL,arb,NULL,hmg,NULL,NULL,NULL,hmg
drug,42969141,olmesartan 20 MG / rosuvastatin 5 MG Oral Tablet,NULL,arb,NULL,hmg,NULL,NULL,NULL,hmg
drug,19122209,Amlodipine 5 MG / atorvastatin 20 MG Oral Tablet,NULL,ccb,NULL,hmg,NULL,NULL,NULL,hmg
drug,2064586,amlodipine 5 MG / rosuvastatin 5 MG / telmisartan 40 MG Oral Tablet,NULL,arb_ccb,NULL,hmg,NULL,NULL,NULL,hmg
drug,42969135,olmesartan 20 MG / rosuvastatin 20 MG Oral Tablet,NULL,arb,NULL,hmg,NULL,NULL,NULL,hmg
drug,1332497,Amlodipine 5 MG / atorvastatin 10 MG Oral Tablet,NULL,ccb,NULL,hmg,NULL,NULL,NULL,hmg
drug,2063256,amlodipine 5 MG / rosuvastatin 20 MG Oral Tablet,NULL,ccb,NULL,hmg,NULL,NULL,NULL,hmg
drug,42969132,olmesartan 20 MG / rosuvastatin 10 MG Oral Tablet,NULL,arb,NULL,hmg,NULL,NULL,NULL,hmg
drug,42932541,pitavastatin 2 MG / valsartan 80 MG Oral Tablet,NULL,arb,NULL,hmg,NULL,NULL,NULL,hmg
drug,42932544,pitavastatin 4 MG / valsartan 160 MG Oral Tablet,NULL,arb,NULL,hmg,NULL,NULL,NULL,hmg
